V1;V2;V3;V29;V34;V49;V50;V51;V52;V53;V54;V55;V56;V57;V60;V61;V62
3;1;1;5;3;1;5;2;2;3;4;2;1;1;1;1;1
3;1;1;5;3;2;4;2;2;2;4;2;1;1;1;2;1
2;1;1;5;3;1;1;1;1;4;4;3;1;1;1;3;1
3;1;1;5;3;2;4;1;1;3;4;2;1;1;1;4;1
2;1;1;5;3;1;5;2;1;3;4;3;1;1;1;5;1
3;1;1;3;3;2;5;2;2;2;4;2;1;1;1;6;1
3;1;1;3;3;2;1;2;2;4;4;3;1;1;1;7;1
2;1;1;3;3;2;4;2;2;3;4;3;1;9;1;8;1
3;1;1;5;2;1;4;2;2;3;4;3;2;1;1;9;1
2;1;1;6;1;2;5;3;2;2;4;2;1;1;1;10;1
3;1;1;1;3;2;4;2;3;4;4;3;1;6;1;11;1
3;1;1;6;3;2;5;4;3;3;4;2;1;1;1;12;1
2;1;1;5;3;1;2;2;2;3;4;2;1;1;1;13;1
2;1;1;3;1;1;1;1;1;4;4;2;1;1;1;14;1
3;1;1;5;3;1;2;2;3;4;4;2;1;1;1;15;1
2;1;1;3;2;2;1;2;3;4;4;2;1;1;1;16;1
2;1;1;5;2;2;3;2;2;3;4;3;1;1;1;17;1
3;1;1;3;3;1;4;1;1;4;4;3;1;1;1;18;1
3;1;1;5;3;2;3;2;3;4;4;2;1;1;1;19;1
4;4;1;6;3;1;5;2;4;4;4;3;1;1;3;20;1
5;1;1;3;5;2;5;2;3;2;4;2;1;1;3;21;1
4;3;3;5;1;1;4;2;3;3;4;3;1;1;3;22;1
4;1;1;3;6;1;5;2;3;4;4;3;1;1;3;23;1
4;1;1;6;7;2;5;4;3;2;4;1;1;1;3;24;1
3;1;4;6;7;1;5;2;4;2;4;2;1;1;3;25;1
3;1;1;6;2;2;5;2;3;2;4;2;1;1;3;26;1
3;3;1;3;7;2;2;2;3;2;4;3;1;1;3;27;1
3;4;6;6;8;2;5;4;2;2;4;1;1;1;3;28;1
3;1;1;5;7;1;2;2;2;3;4;3;1;1;3;29;1
4;1;1;5;2;2;2;2;3;4;4;2;1;1;3;30;1
4;1;1;5;2;2;4;2;4;4;4;2;1;1;3;31;1
3;1;1;5;1;1;1;1;1;4;4;3;1;1;3;32;1
4;1;1;2;6;1;4;3;3;3;4;2;1;1;3;33;1
4;1;6;6;7;1;5;2;3;4;4;3;1;1;3;34;1
4;1;6;5;3;1;2;2;2;3;4;3;1;1;3;35;1
4;1;1;5;3;2;3;2;3;4;4;3;1;1;3;36;1
4;1;4;4;2;2;3;2;3;4;4;3;1;1;3;37;1
3;1;1;5;3;1;3;2;4;2;4;2;1;1;3;38;1
3;1;1;6;7;2;5;4;5;3;4;2;1;1;3;39;1
3;1;1;5;1;2;1;1;1;3;4;2;1;1;3;40;1
4;1;1;5;1;1;1;2;3;4;4;3;1;1;3;41;1
3;1;1;5;6;2;1;2;3;3;4;2;1;1;3;42;1
2;1;1;3;2;2;2;2;1;4;4;5;3;3;5;43;1
5;1;6;2;8;1;3;2;3;2;4;3;1;1;5;44;1
4;1;1;5;2;1;1;1;1;3;4;3;1;1;5;45;1
5;1;6;3;8;2;3;2;3;2;4;2;1;1;5;46;1
2;1;1;5;2;1;2;2;4;4;4;4;1;1;5;47;1
5;1;6;6;8;2;5;4;3;1;4;2;1;3;5;48;1
5;4;6;6;8;2;4;2;5;2;4;2;1;1;5;49;1
1;1;1;5;2;2;3;3;3;4;4;3;1;1;5;50;1
3;1;1;3;3;1;3;2;4;4;4;3;1;1;5;51;1
5;1;4;6;8;1;5;2;3;2;4;2;1;1;5;52;1
3;4;6;6;8;2;5;4;4;2;4;2;1;1;5;53;1
5;1;1;5;2;2;1;2;1;4;4;4;1;1;5;54;1
5;1;6;4;5;2;4;2;3;2;4;2;1;1;5;55;1
5;1;1;5;2;2;1;2;2;4;4;4;1;1;5;56;1
5;1;6;6;8;1;4;2;3;2;4;2;1;1;5;57;1
2;1;4;5;2;2;4;2;2;3;4;3;1;1;5;58;1
2;1;1;5;2;1;1;2;2;3;4;3;1;1;5;59;1
5;1;6;1;5;2;4;4;4;2;4;3;1;1;5;60;1
2;1;1;5;5;1;3;1;1;3;4;3;1;9;5;61;1
5;4;6;6;7;2;5;4;4;1;4;2;1;1;5;62;1
5;1;1;6;7;2;5;4;3;2;4;2;1;1;5;63;1
5;1;1;6;2;1;5;2;3;3;4;3;1;1;5;64;1
2;1;6;5;2;2;1;2;2;4;4;4;1;1;5;65;1
5;1;1;5;5;2;4;2;4;2;4;2;1;1;5;66;1
2;1;1;4;5;2;3;2;3;3;4;3;1;1;5;67;1
3;1;1;5;2;1;4;2;4;2;4;2;1;1;5;68;1
3;1;1;6;8;1;5;2;3;2;4;3;1;1;5;69;1
5;4;6;6;8;2;5;4;3;1;4;2;1;1;5;70;1
5;1;4;6;8;2;5;4;3;2;4;2;1;1;5;71;1
4;3;3;1;8;1;3;2;3;2;4;3;1;1;5;72;1
5;1;1;5;2;1;1;1;1;3;4;3;1;1;5;73;1
3;4;1;6;8;1;5;2;4;2;4;2;1;1;5;74;1
5;1;1;5;2;2;1;2;2;4;4;4;1;1;5;75;1
